type,n,extra_balls,seed,relaxation,mosek_code,pval,dval,rel_gap,eval_ratio,time
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_675.mat,beta,PrimalAndDualFeasible,-51.261658567007196,-51.261658580241495,2.581714942176584e-10,17377469283.51143,0.036544084548950195
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_885.mat,beta,PrimalAndDualFeasible,-68.8771956438116,-68.87719633311148,1.0007664674518451e-08,378170054.996144,0.03291487693786621
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_80.mat,beta,PrimalAndDualFeasible,-57.12009381747004,-57.12009382581218,1.4604552507682029e-10,27180195960.764317,0.03724312782287598
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_183.mat,beta,PrimalAndDualFeasible,-128.86169239234,-128.86169239327322,7.242081116726127e-12,823168968919.771,0.27419400215148926
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_140.mat,beta,PrimalAndDualFeasible,-121.89579425837876,-121.89579425833402,3.6700011608800124e-13,3142103234437.7104,0.3538320064544678
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_430.mat,beta,PrimalAndDualFeasible,-127.93619429447301,-127.93619429448746,1.1296599312696598e-13,1495577654630978.8,0.3507511615753174
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_271.mat,beta,PrimalAndDualFeasible,-86.32412177051938,-86.32412177059128,8.328229992920603e-13,4752528271345.69,0.03139901161193848
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_23.mat,beta,PrimalAndDualFeasible,-118.13326410925761,-118.1332641093341,6.475486096884448e-13,8820416751256.512,0.2845010757446289
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_591.mat,beta,PrimalAndDualFeasible,-139.16091314071096,-139.16091314208285,9.858281765528804e-12,405231425192.5567,0.3381989002227783
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_504.mat,beta,PrimalAndDualFeasible,-16.107629747684896,-16.107629748581306,5.5651270317894e-11,83745794911.3243,0.011626958847045898
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_510.mat,beta,PrimalAndDualFeasible,-15.451180136178749,-15.451180157399012,1.3733748929602725e-09,2563616605.109236,0.011573076248168945
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_461.mat,beta,PrimalAndDualFeasible,-85.688741459163,-85.6887414592317,8.016837512545019e-13,5998520861963.94,0.031794071197509766
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_8.mat,beta,PrimalAndDualFeasible,-73.31897413787354,-73.31897430962402,2.342510757300909e-09,1439166365.2198477,0.048066139221191406
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_69.mat,beta,PrimalAndDualFeasible,-85.82324458833793,-85.82324461493727,3.09931627112224e-10,16540850826.151901,0.04697895050048828
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_887.mat,beta,PrimalAndDualFeasible,-47.098540991232895,-47.09854102363133,6.878861146936493e-10,6291257597.26168,0.04094195365905762
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_879.mat,beta,PrimalAndDualFeasible,-90.66729977894701,-90.66732531332198,2.816271294795519e-07,11231324.132005608,0.03548789024353027
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_539.mat,beta,PrimalAndDualFeasible,-21.793242329186178,-21.793242329464665,1.277857433656844e-11,256870234772.40704,0.011811971664428711
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_235.mat,beta,PrimalAndDualFeasible,-134.3209676060242,-134.32096760783637,1.3491327717245098e-11,284947824403.06494,0.414154052734375
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_299.mat,beta,PrimalAndDualFeasible,-45.841209117527534,-45.84120912090929,7.377111471431187e-11,51417434233.32228,0.03703880310058594
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_962.mat,beta,PrimalAndDualFeasible,-127.63187303202352,-127.63187303272329,5.482728500807024e-12,243647145683947.97,0.3786311149597168
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_868.mat,beta,PrimalAndDualFeasible,-23.806851889722772,-23.806851892621975,1.2178017778155773e-10,18887225713.213642,0.009289026260375977
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_291.mat,beta,PrimalAndDualFeasible,-156.7360051856245,-156.73600518590408,1.7837915119472356e-12,2215654767578.864,0.36103200912475586
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_332.mat,beta,PrimalAndDualFeasible,-140.07072489417777,-140.07072489458693,2.9210881093719944e-12,903166197957.5852,0.2979450225830078
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_326.mat,beta,PrimalAndDualFeasible,-152.55504687341053,-152.55504687341985,6.11079140561495e-14,114276741246661.0,0.35150814056396484
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_695.mat,beta,PrimalAndDualFeasible,-133.54025340442465,-133.54025340473683,2.3377524635792623e-12,2092829626638.5925,0.36123204231262207
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_858.mat,beta,PrimalAndDualFeasible,-143.54262908614194,-143.5426290861611,1.3345326247713562e-13,33092760881006.426,0.2980470657348633
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_864.mat,beta,PrimalAndDualFeasible,-141.4172694408021,-141.41726944155715,5.339172052407397e-12,781194009740.6304,0.3002190589904785
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_509.mat,beta,PrimalAndDualFeasible,-122.96181786131575,-122.96181786251101,9.720584812622143e-12,359009466279530.25,0.3799610137939453
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_46.mat,beta,PrimalAndDualFeasible,-83.60156017841598,-83.60156019623687,2.13164622071553e-10,22622555694.97818,0.2732429504394531
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_198.mat,beta,PrimalAndDualFeasible,-7.552100265248599,-7.552100335501135,9.302383780729608e-09,664260921.5425541,0.017093181610107422
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_85.mat,beta,PrimalAndDualFeasible,-153.7820216088108,-153.78202161218604,2.194826475663028e-11,578413427205.5209,0.43825793266296387
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_615.mat,beta,PrimalAndDualFeasible,-20.90623881438103,-20.906238893854574,3.801427159834129e-09,924719411.013652,0.010586023330688477
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_941.mat,beta,PrimalAndDualFeasible,-44.218636401233944,-44.21863640126428,6.859793032591528e-13,6527801286493.679,0.029715776443481445
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_245.mat,beta,PrimalAndDualFeasible,-132.72006550053788,-132.72006549561516,3.709104060490092e-11,181845801458.651,0.42845916748046875
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_292.mat,beta,PrimalAndDualFeasible,-128.52658728716867,-128.52658732502417,2.9453439059894e-10,12888108329.350548,0.3109550476074219
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_133.mat,beta,PrimalAndDualFeasible,-138.19079590357902,-138.19079590370387,9.035085782039028e-13,14620126815819.729,0.37070608139038086
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_872.mat,beta,PrimalAndDualFeasible,-118.40086178478957,-118.40086178616296,1.1599525733050457e-11,576465859800.5946,0.37755393981933594
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_607.mat,beta,PrimalAndDualFeasible,-57.319041261419414,-57.31904700108574,1.0013541598590429e-07,31231601.494368073,0.03706002235412598
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_820.mat,beta,PrimalAndDualFeasible,-93.55480444801151,-93.55480478980225,3.6533745041386666e-09,937668938.8603764,0.030267953872680664
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_456.mat,beta,PrimalAndDualFeasible,-128.43591174686145,-128.43591175094997,3.183315078554976e-11,113371477504326.81,0.4010188579559326
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_442.mat,beta,PrimalAndDualFeasible,-97.76911767679637,-97.76911767685353,5.846023675233662e-13,10340149755670.855,0.35321903228759766
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_616.mat,beta,PrimalAndDualFeasible,-14.089001844174962,-14.089001914926737,5.021773353569202e-09,673226254.8747373,0.03842902183532715
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_720.mat,beta,PrimalAndDualFeasible,-115.36724616615443,-115.36724616617465,1.7528412033521583e-13,36015847220705.78,0.35666394233703613
