type,n,m,seed,generator_timestamp,test_timestamp,relaxation,time
maxnorm,2,2,96,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0008630752563476
maxnorm,2,2,97,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009779930114746
maxnorm,2,2,98,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009369850158691
maxnorm,2,2,99,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009138584136962
maxnorm,2,4,0,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0013909339904785
maxnorm,2,4,1,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009591579437255
maxnorm,2,4,2,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0007150173187255
maxnorm,2,4,3,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0011627674102783
maxnorm,2,4,4,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0013010501861572
maxnorm,2,4,5,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010898113250732
maxnorm,2,4,6,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0012669563293457
maxnorm,2,4,7,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.000990867614746
maxnorm,2,4,8,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0008420944213867
maxnorm,2,4,9,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.00120210647583
maxnorm,2,4,10,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0008270740509033
maxnorm,2,4,11,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0008540153503417
maxnorm,2,4,12,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009300708770751
maxnorm,2,4,13,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009589195251464
maxnorm,2,4,14,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0014550685882568
maxnorm,2,4,15,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.001188039779663
maxnorm,2,4,16,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010120868682861
maxnorm,2,4,17,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009980201721191
maxnorm,2,4,18,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0008740425109863
maxnorm,2,4,19,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0012519359588623
maxnorm,2,4,20,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0013120174407958
maxnorm,2,4,21,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010769367218017
maxnorm,2,4,22,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0012071132659912
maxnorm,2,4,23,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010981559753417
maxnorm,2,4,24,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0011360645294189
maxnorm,2,4,25,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0011649131774902
maxnorm,2,4,26,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0013809204101562
maxnorm,2,4,27,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009238719940185
maxnorm,2,4,28,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0012660026550292
maxnorm,2,4,29,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010099411010742
maxnorm,2,4,30,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0011420249938964
maxnorm,2,4,31,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010402202606201
maxnorm,2,4,32,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010938644409179
maxnorm,2,4,33,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0008530616760253
maxnorm,2,4,34,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0013000965118408
maxnorm,2,4,35,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009160041809082
maxnorm,2,4,36,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010669231414794
maxnorm,2,4,37,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010950565338134
maxnorm,2,4,38,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0011441707611083
maxnorm,2,4,39,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0013031959533691
