type,n,extra_balls,seed,relaxation,mosek_code,pval,dval,rel_gap,eval_ratio,time
martinez,2.0,1.0,473.0,kron,PrimalAndDualFeasible,-0.7384192861032501,-0.7384192866327506,5.295004434913153e-10,5145046311.772559,0.001669168472290039
martinez,2.0,1.0,473.0,beta,PrimalAndDualFeasible,-0.7384192858701542,-0.7384192865385771,6.684229836295685e-10,4689372401.416848,0.0008859634399414062
martinez,2.0,1.0,475.0,shor,PrimalAndDualFeasible,-0.1031914237958627,-1.0414022991846852,0.9382108753888225,1.2247913284626608,0.00034999847412109375
martinez,2.0,1.0,475.0,kron,PrimalAndDualFeasible,-1.0341729398486765,-1.0341729409620426,1.0765762886538782e-09,2878846738.146594,0.0014948844909667969
martinez,2.0,1.0,475.0,beta,PrimalAndDualFeasible,-1.0341729410862386,-1.0341729410966434,1.0060975034988907e-11,31734369082.29842,0.0007231235504150391
martinez,2.0,1.0,480.0,shor,PrimalAndDualFeasible,-0.20058291355017477,-0.6312636690763573,0.43068075552618257,3.8756142671700435,0.0003409385681152344
martinez,2.0,1.0,480.0,kron,PrimalAndDualFeasible,-0.4843085229014071,-0.4843085229171039,1.5696832722511544e-11,40948342215.727,0.0021181106567382812
martinez,2.0,1.0,480.0,beta,PrimalAndDualFeasible,-0.48430852296641624,-0.4843085229053882,6.102807148522515e-11,62885026990.4109,0.0007290840148925781
martinez,2.0,1.0,503.0,shor,PrimalAndDualFeasible,-0.9386031997650909,-1.3729041570878322,0.375772939709813,3.457643520786126,0.00032711029052734375
martinez,2.0,1.0,503.0,kron,PrimalAndDualFeasible,-1.3420696814790196,-1.3420696924180955,8.150900041731471e-09,175069788.7145791,0.005673885345458984
martinez,2.0,1.0,503.0,beta,PrimalAndDualFeasible,-1.3420696935039969,-1.3420696934720542,2.3801052125453744e-11,25050327224.59126,0.0009620189666748047
martinez,2.0,1.0,542.0,shor,PrimalAndDualFeasible,-0.9293200719835365,-1.102737112187743,0.1706812599124074,13.72353343028448,0.0003609657287597656
martinez,2.0,1.0,542.0,kron,PrimalAndDualFeasible,-1.0982824437562588,-1.0982824437413148,1.3606742132429689e-11,120434032807.82048,0.00201416015625
martinez,2.0,1.0,542.0,beta,PrimalAndDualFeasible,-1.0982824435861,-1.0982824437280265,1.2922583930541076e-10,37839901727.09579,0.0007729530334472656
martinez,2.0,1.0,555.0,shor,PrimalAndDualFeasible,-0.8207908993583097,-1.106210332213909,0.28541943285559923,6.812737930346443,0.00038504600524902344
martinez,2.0,1.0,555.0,kron,PrimalAndDualFeasible,-1.0516165046247075,-1.0516165046329409,7.829293201827605e-12,127018061059.19205,0.0016019344329833984
martinez,2.0,1.0,555.0,beta,PrimalAndDualFeasible,-1.0516165046150854,-1.051616504608941,5.842831755243713e-12,41049243886.302666,0.0007028579711914062
martinez,2.0,1.0,582.0,shor,PrimalAndDualFeasible,-0.1742101059790998,-0.9877890559832958,0.813578950004196,1.6427729821520947,0.0003800392150878906
martinez,2.0,1.0,582.0,kron,PrimalAndDualFeasible,-0.9717335642754993,-0.9717335659045587,1.6290594428980398e-09,1774630864.5047395,0.0016181468963623047
martinez,2.0,1.0,582.0,beta,PrimalAndDualFeasible,-0.9717335663658047,-0.9717335664021165,3.631184242181007e-11,84011062394.40756,0.0008938312530517578
martinez,2.0,1.0,596.0,shor,PrimalAndDualFeasible,-0.6553041900289927,-0.6821323734170971,0.026828183388104443,95.75288047950625,0.0003871917724609375
martinez,2.0,1.0,596.0,kron,PrimalAndDualFeasible,-0.6819314055779688,-0.6819314055472601,3.070876886113183e-11,329797478653.32056,0.0019159317016601562
